2018-06-10T02:01:01.284Z,61.7317,-146.2065,30,2.8,ml,,,,0.85,ak19745222,"54km SW of Glennallen, Alaska",0.3,,,ak
2018-06-10T01:51:07.870Z,19.4373341,-155.2839966,0.51,2.96,ml,11,280,0.01746,0.13,hv70255417,"4km W of Volcano, Hawaii",0.4,0.3,10,hv
2018-06-10T01:50:45.490Z,19.4211674,-155.2793274,0.74,2.64,ml,26,42,0.003935,0.19,hv70255412,"4km WSW of Volcano, Hawaii",0.18,0.37,14,hv
2018-06-10T01:49:53.950Z,19.4115009,-155.2610016,0.39,2.46,ml,22,55,0.001211,0.31,hv70255407,"3km SW of Volcano, Hawaii",0.17,0.41,14,hv
2018-06-10T01:19:25.230Z,-6.0115,152.0536,10,4.6,mb,,114,1.811,0.5,us1000emfb,"184km S of Kokopo, Papua New Guinea",1.9,0.092,35,us
2018-06-10T01:14:26.910Z,19.4113331,-155.2669983,0.78,2.62,ml,34,44,0.006763,0.2,hv70255312,"3km SW of Volcano, Hawaii",0.19,0.43,15,hv
2018-06-10T01:03:25.380Z,15.1019,-94.0396,35,4.5,mwr,,140,2.176,1.16,us1000emem,"100km SSW of Tres Picos, Mexico",2,0.068,21,us
2018-06-10T00:29:17.950Z,61.191,-140.4844,1.51,3.9,ml,,27,0.36,0.92,us1000eme9,"164km NE of Cape Yakataga, Alaska",10.5,0.029,157,us
2018-06-09T22:36:35.730Z,-13.0253,45.6414,10,4.9,mb,,53,6.151,0.57,us1000emd6,"46km ESE of Pamandzi, Mayotte",1.9,0.067,69,us
2018-06-09T22:28:14.380Z,19.4143333,-155.2833405,1.39,3.04,ml,49,21,0.003387,0.28,hv70254787,"5km WSW of Volcano, Hawaii",0.19,3.21,32,hv
2018-06-09T22:24:53.410Z,36.8737,27.5216,10.96,4,mb,,54,0.816,0.7,us1000emcy,"20km SSE of Bodrum, Turkey",6.3,0.157,11,us
2018-06-09T22:18:59.690Z,19.295166,-155.2496643,7.95,2.5,ml,7,152,0.0274,0.14,hv70254757,"15km S of Volcano, Hawaii",1.36,0.32,5,hv
2018-06-09T21:49:16.220Z,43.0906,46.231,10,4.3,mb,,36,2.103,1.06,us1000emc8,"3km ESE of Yalkhoy-Mokhk, Russia",1.9,0.071,56,us
2018-06-09T21:45:50.720Z,43.8007,145.9672,84.22,4.6,mb,,148,2.457,0.89,us1000emc5,"27km SSE of Yuzhno-Kuril'sk, Russia",7.7,0.047,133,us
2018-06-09T21:41:29.067Z,52.2091,-176.1052,181.7,2.8,ml,,,,0.6,ak19742532,"52km NE of Adak, Alaska",1.5,,,ak
2018-06-09T20:53:12.020Z,-5.9051,152.0615,10,4.6,mb,,154,1.705,0.58,us1000embm,"173km S of Kokopo, Papua New Guinea",1.8,0.102,29,us
2018-06-09T19:50:04.930Z,-5.8487,151.8823,56.53,5.1,mb,,42,1.67,0.81,us1000ema9,"170km SSW of Kokopo, Papua New Guinea",6.6,0.066,74,us
2018-06-09T19:45:43.970Z,55.6877,161.2485,114.68,4,mb,,151,3.072,0.46,us1000ema8,"97km SW of Ust'-Kamchatsk Staryy, Russia",13.8,0.116,20,us
2018-06-09T17:28:15.550Z,19.4048328,-155.2656708,-0.05,2.49,ml,30,53,0.009054,0.26,hv70253827,"4km SW of Volcano, Hawaii",0.3,1.9,17,hv
2018-06-09T17:09:53.593Z,36.9554,-117.7119,8.4,2.7,ml,36,77.63,0.279,0.2554,nn00638972,"49km NE of Lone Pine, California",1.5,0.42,20,nn
2018-06-09T15:51:57.620Z,19.3968334,-155.2494965,-0.91,2.75,ml,35,45,0.01139,0.38,hv70253502,"3km SSW of Volcano, Hawaii",0.27,3.05,28,hv
2018-06-09T15:43:12.000Z,19.3903332,-154.897171,5.29,2.55,ml,19,274,0.11,0.2,hv70253462,"8km SSE of Leilani Estates, Hawaii",0.73,0.3,5,hv
2018-06-09T15:17:01.500Z,19.4,-155.2656667,0.29,2.91,ml,34,58,0.001782,0.1,hv70253392,"4km SW of Volcano, Hawaii",0.15,0.173,41,hv
2018-06-09T15:05:17.640Z,19.4261665,-155.2936707,1.39,2.6,ml,19,72,0.005684,0.14,hv70253357,"5km W of Volcano, Hawaii",0.18,0.38,10,hv
2018-06-09T15:05:13.330Z,19.3218327,-155.1956635,2.62,2.95,ml,14,96,0.04879,0.23,hv70253362,"12km SSE of Volcano, Hawaii",1.33,0.5,9,hv
2018-06-09T15:01:11.050Z,18.7691,-67.3276,7,2.57,md,13,199,0.3712,0.22,pr2018160007,"39km NW of San Antonio, Puerto Rico",1.56,0.36,11,pr
2018-06-09T14:55:16.750Z,19.4108334,-155.2533264,0.65,2.67,ml,21,119,0.006307,0.24,hv70253337,"2km SW of Volcano, Hawaii",0.26,0.28,8,hv
2018-06-09T14:48:18.100Z,19.4121667,-155.2821667,0.46,5.2,mw,22,67,0.005762,0.08,hv70253332,"5km WSW of Volcano, Hawaii",0.16,,8,hv
2018-06-09T14:48:02.810Z,19.403,-155.276,0.84,2.7,ml,21,55,0.007911,0.1,hv70253327,"5km SW of Volcano, Hawaii",0.17,0.135,4,hv
2018-06-09T14:47:00.150Z,19.3999996,-155.2793274,0.2,2.53,ml,29,38,0.007072,0.25,hv70253322,"5km SW of Volcano, Hawaii",0.2,0.45,25,hv
2018-06-09T14:46:10.784Z,65.7825,-149.8302,9,2.5,ml,,,,0.78,ak19738262,"94km NNE of Manley Hot Springs, Alaska",0.3,,,ak
2018-06-09T14:40:42.660Z,19.4116669,-155.2879944,0.32,2.51,ml,25,45,0.007007,0.22,hv70253307,"5km WSW of Volcano, Hawaii",0.16,0.36,13,hv
2018-06-09T14:32:32.840Z,19.4006672,-155.2541656,0.96,2.56,ml,20,53,0.01146,0.31,hv70253292,"3km SSW of Volcano, Hawaii",0.53,0.55,15,hv
2018-06-09T14:31:12.480Z,19.4160004,-155.279007,0.89,2.49,ml,35,33,0.00508,0.19,hv70253287,"4km WSW of Volcano, Hawaii",0.13,0.38,18,hv
2018-06-09T14:28:51.670Z,19.3939991,-155.2858276,0.41,2.61,ml,31,40,0.008381,0.25,hv70253282,"6km SW of Volcano, Hawaii",0.27,0.43,18,hv
2018-06-09T14:27:01.030Z,19.4083328,-155.2570038,1,2.47,ml,21,59,0.004615,0.33,hv70253277,"3km SW of Volcano, Hawaii",0.29,0.5,10,hv
2018-06-09T14:26:57.270Z,19.423666,-155.2669983,2.02,2.47,ml,12,106,0.003455,0.17,hv70253272,"3km WSW of Volcano, Hawaii",0.54,0.37,14,hv
2018-06-09T14:23:20.360Z,19.3943329,-155.2709961,-0.24,2.5,ml,27,45,0.002702,0.28,hv70253257,"5km SW of Volcano, Hawaii",0.25,0.51,14,hv
2018-06-09T14:23:19.310Z,19.3471661,-155.2181702,15.59,2.73,ml,9,234,0.03374,0.22,hv70253262,"9km SSE of Volcano, Hawaii",1.72,0.6,11,hv
